user_id,subscription_status,change_date,cancellation_reason
130320,active,2024-02-01 00:00:00,content
159457,active,2024-02-01 00:01:00,content
158158,active,2024-02-01 00:02:00,price
61946,renewed,2024-02-01 00:03:00,price
170368,renewed,2024-02-01 00:04:00,content
66434,active,2024-02-01 00:05:00,
96212,cancelled,2024-02-01 00:06:00,content
103617,cancelled,2024-02-01 00:07:00,
132397,renewed,2024-02-01 00:08:00,content
32356,renewed,2024-02-01 00:09:00,other
39990,active,2024-02-01 00:10:00,price
113447,cancelled,2024-02-01 00:11:00,other
46143,active,2024-02-01 00:12:00,price
118016,cancelled,2024-02-01 00:13:00,content
147765,active,2024-02-01 00:14:00,other
37155,active,2024-02-01 00:15:00,price
92063,active,2024-02-01 00:16:00,
89463,active,2024-02-01 00:17:00,content
171364,active,2024-02-01 00:18:00,price
164954,active,2024-02-01 00:19:00,other
113386,active,2024-02-01 00:20:00,content
52072,active,2024-02-01 00:21:00,price
133309,cancelled,2024-02-01 00:22:00,content
99938,active,2024-02-01 00:23:00,content
14989,active,2024-02-01 00:24:00,price
186400,renewed,2024-02-01 00:25:00,
141996,cancelled,2024-02-01 00:26:00,price
181805,active,2024-02-01 00:27:00,other
115740,active,2024-02-01 00:28:00,price
34820,renewed,2024-02-01 00:29:00,price
30830,cancelled,2024-02-01 00:30:00,price
65733,renewed,2024-02-01 00:31:00,other
73886,active,2024-02-01 00:32:00,
79661,cancelled,2024-02-01 00:33:00,content
44513,active,2024-02-01 00:34:00,content
157580,renewed,2024-02-01 00:35:00,price
97077,cancelled,2024-02-01 00:36:00,price
18123,cancelled,2024-02-01 00:37:00,content
13831,cancelled,2024-02-01 00:38:00,price
56800,cancelled,2024-02-01 00:39:00,other
38599,active,2024-02-01 00:40:00,
20642,active,2024-02-01 00:41:00,content
141351,renewed,2024-02-01 00:42:00,content
45831,active,2024-02-01 00:43:00,
157701,cancelled,2024-02-01 00:44:00,other
44779,renewed,2024-02-01 00:45:00,other
126186,active,2024-02-01 00:46:00,price
11637,active,2024-02-01 00:47:00,price
155966,cancelled,2024-02-01 00:48:00,other
170280,active,2024-02-01 00:49:00,content
139081,renewed,2024-02-01 00:50:00,other
53542,cancelled,2024-02-01 00:51:00,price
